candidate_id,iteration,reference_cluster,matched_resample_cluster,jaccard
R0_STANDARDIZED__GMM_DIAG__K2,171,1,0,0.39285714285714285
R0_STANDARDIZED__GMM_DIAG__K2,172,0,1,0.7169811320754716
R0_STANDARDIZED__GMM_DIAG__K2,172,1,0,0.4444444444444444
R0_STANDARDIZED__GMM_DIAG__K2,173,0,0,0.9811320754716981
R0_STANDARDIZED__GMM_DIAG__K2,173,1,1,0.9230769230769231
R0_STANDARDIZED__GMM_DIAG__K2,174,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,174,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,175,0,0,0.9814814814814815
R0_STANDARDIZED__GMM_DIAG__K2,175,1,1,0.9166666666666666
R0_STANDARDIZED__GMM_DIAG__K2,176,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,176,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,177,0,0,0.6
R0_STANDARDIZED__GMM_DIAG__K2,177,1,1,0.0
R0_STANDARDIZED__GMM_DIAG__K2,178,0,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,178,1,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,179,0,1,0.6792452830188679
R0_STANDARDIZED__GMM_DIAG__K2,179,1,0,0.41379310344827586
R0_STANDARDIZED__GMM_DIAG__K2,180,0,0,0.7321428571428571
R0_STANDARDIZED__GMM_DIAG__K2,180,1,1,0.375
R0_STANDARDIZED__GMM_DIAG__K2,181,0,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,181,1,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,182,0,0,0.9818181818181818
R0_STANDARDIZED__GMM_DIAG__K2,182,1,1,0.9090909090909091
R0_STANDARDIZED__GMM_DIAG__K2,183,0,1,0.43636363636363634
R0_STANDARDIZED__GMM_DIAG__K2,183,1,0,0.24390243902439024
R0_STANDARDIZED__GMM_DIAG__K2,184,0,0,0.9811320754716981
R0_STANDARDIZED__GMM_DIAG__K2,184,1,1,0.9230769230769231
R0_STANDARDIZED__GMM_DIAG__K2,185,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,185,1,1,1.0
