institution_id,state,institution_type,children_served,staff_size,available_devices,internet_stability,current_digital_tools,registration_system_type,admin_time_load,administrative_organization,digital_usage_frequency,previous_digital_implementation,implementation_difficulty,time_constraint,staffing_constraint,training_deficit,resource_constraint,system_change_resistance,perceived_digital_utility,tool_adoption_willingness,pilot_openness,available_devices_encoded,internet_stability_encoded,registration_system_type_encoded,admin_time_load_encoded,admin_time_load_norm,administrative_organization_encoded,digital_usage_frequency_encoded,previous_digital_implementation_encoded,implementation_difficulty_encoded,implementation_difficulty_norm,time_constraint_encoded,time_constraint_norm,staffing_constraint_encoded,staffing_constraint_norm,training_deficit_encoded,training_deficit_norm,resource_constraint_encoded,resource_constraint_norm,system_change_resistance_encoded,system_change_resistance_norm,perceived_digital_utility_encoded,tool_adoption_willingness_encoded,pilot_openness_encoded,uses_excel,uses_whatsapp,uses_google_workspace,uses_specialized_software,uses_other_tool,uses_no_tool,digital_tool_variety
INST_038,Puebla,No estoy seguro,1-10,1-5,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,1-3 horas,Medio,Diario,Sí,Fácil,Poco,Poco,Muy alto,Nada,Difícil,Mucho,Dispuestos,Sí,3,5,4,2,2,3,4,1,2.0,2.0,2,2,2,2,5,5,1,1,4,4,4,4,1.0,1,1,1,1,0,0,4
INST_039,Chihuahua,Privada,11-30,1-5,1-2,Inestable,WhatsApp,Papel,1-3 horas,Alto,Rara vez,No,Fácil,Poco,Medio,Alto,Alto,Fácil,Algo,Muy dispuestos,Sí,1,3,1,2,2,4,2,0,2.0,2.0,2,2,3,3,4,4,4,4,2,2,3,5,1.0,0,1,0,0,0,0,1
INST_040,Baja California,Asociación civil / ONG,11-30,16-30,6+,Estable,Excel;WhatsApp;Google Drive / Docs,Mixto,5+ horas,Alto,Diario,Sí,Moderado,Alto,Medio,Alto,Poco,Neutral,Mucho,Muy dispuestos,Sí,3,4,3,4,4,4,4,1,3.0,3.0,4,4,3,3,4,4,2,2,3,3,4,5,1.0,1,1,1,0,0,0,3
INST_041,Sonora,Pública,31-60,16-30,1-2,Muy inestable,WhatsApp,Papel,1-3 horas,Muy alto,Rara vez,No,Fácil,Poco,Poco,Medio,Muy alto,Muy fácil,Mucho,Muy dispuestos,Sí,1,2,1,2,2,5,2,0,2.0,2.0,2,2,2,2,3,3,5,5,1,1,4,5,1.0,0,1,0,0,0,0,1
INST_042,Ciudad de México,Privada,31-60,30+,6+,Estable,Excel;WhatsApp;Google Drive / Docs,Mixto,1-3 horas,Alto,Diario,Sí,Moderado,Poco,Poco,Poco,Poco,Neutral,Mucho,Dispuestos,Sí,3,4,3,2,2,4,4,1,3.0,3.0,2,2,2,2,2,2,2,2,3,3,4,4,1.0,1,1,1,0,0,0,3
INST_043,Baja California,Privada,11-30,16-30,6+,Muy inestable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,3-5 horas,Muy bajo,Diario,Sí,Muy difícil,Alto,Medio,Muy alto,Poco,Muy difícil,Mucho,Poco dispuestos,No,3,2,4,3,3,1,4,1,5.0,5.0,4,4,3,3,5,5,2,2,5,5,4,2,0.0,1,1,1,1,0,0,4
INST_044,Guanajuato,Pública,11-30,6-15,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,Menos de 1 hora,Muy alto,Diario,Sí,Muy fácil,Nada,Poco,Poco,Nada,Fácil,Mucho,Muy dispuestos,Sí,3,5,4,1,1,5,4,1,1.0,1.0,1,1,2,2,2,2,1,1,2,2,4,5,1.0,1,1,1,1,0,0,4
INST_045,Ciudad de México,Pública,1-10,1-5,3-5,Estable,Excel;WhatsApp,Excel,1-3 horas,Medio,Diario,No,Moderado,Alto,Alto,Muy alto,Muy alto,Neutral,Mucho,Neutrales,Tal vez,2,4,2,2,2,3,4,0,3.0,3.0,4,4,4,4,5,5,5,5,3,3,4,3,0.5,1,1,0,0,0,0,2
INST_046,Aguascalientes,Privada,31-60,6-15,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,3-5 horas,Medio,Diario,Sí,Moderado,Medio,Poco,Muy alto,Nada,Neutral,Mucho,Dispuestos,Sí,3,5,4,3,3,3,4,1,3.0,3.0,3,3,2,2,5,5,1,1,3,3,4,4,1.0,1,1,1,1,0,0,4
INST_047,Jalisco,Asociación civil / ONG,11-30,6-15,6+,Estable,WhatsApp,Mixto,3-5 horas,Medio,Diario,No,Moderado,Muy alto,Medio,Medio,Medio,Neutral,Mucho,Muy dispuestos,Sí,3,4,3,3,3,3,4,0,3.0,3.0,5,5,3,3,3,3,3,3,3,3,4,5,1.0,0,1,0,0,0,0,1
