state,institution_type,children_served,staff_size,available_devices,internet_constraint,current_digital_tools,information_recording_method,admin_time_load_norm,admin_disorganization,digital_usage_constraint,previous_digital_implementation,implementation_difficulty_norm,time_constraint_norm,staffing_constraint_norm,training_deficit_norm,resource_constraint_norm,system_change_resistance_norm,perceived_digital_utility_norm,willingness_constraint,pilot_openness,uses_excel,uses_whatsapp,uses_google_workspace,uses_specialized_software,uses_no_tool,digital_tool_variety,device_constraint,internet_stability_constraint,digital_tool_variety_constraint,recording_system_constraint,admin_time_load_constraint,administrative_disorganization_constraint,implementation_difficulty_constraint,system_change_resistance_constraint,time_constraint_score,staffing_constraint_score,resource_constraint_score,digital_usage_constraint_score,training_deficit_score,willingness_constraint_score,perceived_utility_constraint,pilot_openness_constraint,previous_implementation_constraint,ICI,OCI,OLI,HCARI,AFS_baseline,AFS_theoretical,friction_category,dominant_constraint
Ciudad de México,Privada,31-60,30+,3,2,Excel;WhatsApp;Google Drive / Docs;Software especializado,3,4,4,2,1,3,3,3,3,4,3,4,4,1.0,1,1,1,1,0,4,0.0,0.75,0.0,0.3333333333333333,1.0,0.25,0.5,0.5,0.5,0.5,0.75,0.6666666666666666,0.5,0.25,0.0,0.0,0.0,0.2708333333333333,0.4166666666666667,0.6875,0.23611111111111108,0.4027777777777778,0.3892361111111111,Moderate friction,Operational
Veracruz,Pública,11-30,6-15,1,2,WhatsApp,1,2,5,1,0,2,3,3,3,4,2,4,5,1.0,0,1,0,0,0,1,0.6666666666666666,0.75,0.75,1.0,0.3333333333333333,0.0,0.25,0.25,0.5,0.5,0.75,1.0,0.5,0.0,0.0,0.0,1.0,0.7916666666666666,0.16666666666666666,0.5208333333333333,0.4166666666666667,0.4739583333333333,0.45625,Moderate friction,Infrastructure
Yucatán,Pública,11-30,16-30,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,4,3,1,4,1,5,3,3,3,1,5,4,1,0.0,1,1,1,1,0,4,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.41666666666666663,0.4166666666666667,0.4583333333333333,0.4875,Moderate friction,Organizational
Nuevo León,Mixta,11-30,6-15,0,1,WhatsApp,1,2,4,2,0,3,3,3,3,4,2,4,5,1.0,0,1,0,0,0,1,1.0,1.0,0.75,1.0,0.3333333333333333,0.25,0.5,0.25,0.5,0.5,0.75,0.6666666666666666,0.5,0.0,0.0,0.0,1.0,0.9375,0.3333333333333333,0.5208333333333333,0.3611111111111111,0.5381944444444444,0.5288194444444444,High friction,Infrastructure
Guerrero,Pública,31-60,6-15,0,3,Ninguna,1,3,4,1,0,3,3,3,3,4,2,4,5,1.0,0,0,0,0,1,0,1.0,0.5,1.0,1.0,0.6666666666666666,0.25,0.5,0.25,0.5,0.5,0.75,1.0,0.5,0.0,0.0,0.0,1.0,0.875,0.3333333333333333,0.6041666666666666,0.4166666666666667,0.5572916666666666,0.54375,High friction,Infrastructure
Puebla,No estoy seguro,1-10,1-5,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,4,2,3,4,1,2,3,3,3,3,4,4,4,1.0,1,1,1,1,0,4,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.25,0.75,0.5,0.5,0.5,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.5,0.4583333333333333,0.125,0.2708333333333333,0.2729166666666667,Moderate friction,Organizational
Chihuahua,Privada,11-30,1-5,1,2,WhatsApp,1,2,4,1,0,2,3,3,3,3,2,3,5,1.0,0,1,0,0,0,1,0.6666666666666666,0.75,0.75,1.0,0.3333333333333333,0.25,0.25,0.25,0.5,0.5,0.5,1.0,0.5,0.0,0.3333333333333333,0.0,1.0,0.7916666666666666,0.25,0.4583333333333333,0.47222222222222215,0.49305555555555547,0.48263888888888884,Moderate friction,Infrastructure
Baja California,Asociación civil / ONG,11-30,16-30,3,4,Excel;WhatsApp;Google Drive / Docs,2,4,4,4,1,3,3,3,3,1,3,4,5,1.0,1,1,1,0,0,3,0.0,0.25,0.25,0.6666666666666666,1.0,0.25,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.29166666666666663,0.4166666666666667,0.5,0.08333333333333333,0.32291666666666663,0.31875,Moderate friction,Operational
Sonora,Pública,31-60,16-30,1,1,WhatsApp,1,2,5,1,0,2,3,3,3,4,1,4,5,1.0,0,1,0,0,0,1,0.6666666666666666,1.0,0.75,1.0,0.3333333333333333,0.0,0.25,0.0,0.5,0.5,0.75,1.0,0.5,0.0,0.0,0.0,1.0,0.8541666666666666,0.08333333333333333,0.5208333333333333,0.4166666666666667,0.46875,0.44687499999999997,Moderate friction,Infrastructure
Ciudad de México,Privada,31-60,30+,3,4,Excel;WhatsApp;Google Drive / Docs,2,2,4,4,1,3,3,3,3,1,3,4,4,1.0,1,1,1,0,0,3,0.0,0.25,0.25,0.6666666666666666,0.3333333333333333,0.25,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.29166666666666663,0.4166666666666667,0.3333333333333333,0.125,0.29166666666666663,0.29583333333333334,Moderate friction,Organizational
Baja California,Privada,11-30,16-30,3,1,Excel;WhatsApp;Google Drive / Docs;Software especializado,4,3,1,4,1,5,3,3,3,1,5,4,2,0.0,1,1,1,1,0,4,0.0,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.75,0.0,1.0,0.0,0.25,1.0,0.41666666666666663,0.375,0.5104166666666666,0.5395833333333333,High friction,Organizational
Guanajuato,Pública,11-30,6-15,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,4,1,5,4,1,1,3,3,3,3,2,4,5,1.0,1,1,1,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.375,0.08333333333333333,0.13541666666666666,0.12083333333333333,Low friction,Operational
Ciudad de México,Pública,1-10,1-5,2,4,Excel;WhatsApp,3,2,3,4,0,3,3,3,3,4,3,4,3,0.5,1,1,0,0,0,2,0.3333333333333333,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.75,0.0,0.5,0.5,0.0,0.5,1.0,0.35416666666666663,0.5,0.5208333333333333,0.4166666666666667,0.4479166666666667,0.44687499999999997,Moderate friction,Operational
Aguascalientes,Privada,31-60,6-15,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,4,3,3,4,1,3,3,3,3,3,3,4,4,1.0,1,1,1,1,0,4,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.5,0.5416666666666666,0.125,0.29166666666666663,0.2895833333333333,Moderate friction,Operational
Jalisco,Asociación civil / ONG,11-30,6-15,3,4,WhatsApp,2,3,3,4,0,3,3,3,3,2,3,4,5,1.0,0,1,0,0,0,1,0.0,0.25,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.25,0.0,0.5,0.0,0.0,0.0,1.0,0.41666666666666663,0.5,0.47916666666666663,0.25,0.4114583333333333,0.4125,Moderate friction,Organizational
Estado de México,Privada,31-60,16-30,2,4,Excel;WhatsApp;Google Drive / Docs;Software especializado,2,3,1,4,1,5,3,3,3,1,5,4,1,0.0,1,1,1,1,0,4,0.3333333333333333,0.25,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.3125,1.0,0.41666666666666663,0.4166666666666667,0.5364583333333333,0.5656249999999999,High friction,Organizational
Jalisco,Mixta,31-60,16-30,2,4,Excel;WhatsApp;Google Drive / Docs,2,3,1,4,1,4,3,3,3,1,4,4,2,0.0,1,1,1,0,0,3,0.3333333333333333,0.25,0.25,0.6666666666666666,0.6666666666666666,1.0,0.75,0.75,0.5,0.5,0.0,0.0,0.5,0.75,0.0,1.0,0.0,0.375,0.8333333333333334,0.41666666666666663,0.375,0.5,0.5208333333333333,High friction,Organizational
Tabasco,Privada,11-30,1-5,3,5,Excel;WhatsApp;Software especializado,4,2,3,4,1,2,3,3,3,3,3,4,5,1.0,1,1,0,1,0,3,0.0,0.0,0.25,0.0,0.3333333333333333,0.5,0.25,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0625,0.4166666666666667,0.4583333333333333,0.08333333333333333,0.2552083333333333,0.253125,Moderate friction,Operational
Guanajuato,Pública,11-30,6-15,0,1,Ninguna,1,1,5,1,0,2,3,3,3,4,1,4,5,1.0,0,0,0,0,1,0,1.0,1.0,1.0,1.0,0.0,0.0,0.25,0.0,0.5,0.5,0.75,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.08333333333333333,0.4375,0.4166666666666667,0.484375,0.46666666666666673,Moderate friction,Infrastructure
Jalisco,Privada,11-30,1-5,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,4,1,5,4,1,1,3,3,3,3,2,4,5,1.0,1,1,1,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.375,0.08333333333333333,0.13541666666666666,0.12083333333333333,Low friction,Operational
Ciudad de México,Privada,11-30,6-15,3,4,Excel;WhatsApp;Google Drive / Docs,2,3,3,4,0,3,3,3,3,3,4,4,4,1.0,1,1,1,0,0,3,0.0,0.25,0.25,0.6666666666666666,0.6666666666666666,0.5,0.5,0.75,0.5,0.5,0.5,0.0,0.5,0.25,0.0,0.0,1.0,0.29166666666666663,0.5833333333333334,0.5416666666666666,0.2916666666666667,0.4270833333333333,0.4291666666666667,Moderate friction,Organizational
Sonora,Privada,31-60,6-15,1,1,WhatsApp,1,3,5,2,0,2,3,3,3,3,1,4,5,1.0,0,1,0,0,0,1,0.6666666666666666,1.0,0.75,1.0,0.6666666666666666,0.0,0.25,0.0,0.5,0.5,0.5,0.6666666666666666,0.5,0.0,0.0,0.0,1.0,0.8541666666666666,0.08333333333333333,0.5416666666666666,0.3611111111111111,0.4600694444444444,0.4371527777777778,Moderate friction,Infrastructure
Nuevo León,Asociación civil / ONG,31-60,30+,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,4,4,2,4,1,4,3,3,3,1,3,4,4,0.5,1,1,1,1,0,4,0.0,0.0,0.0,0.0,1.0,0.75,0.75,0.5,0.5,0.5,0.0,0.0,0.5,0.25,0.0,0.5,0.0,0.0,0.6666666666666666,0.5,0.20833333333333334,0.34374999999999994,0.3520833333333333,Moderate friction,Organizational
