fold_index,threshold,direction,train_balanced_accuracy,test_balanced_accuracy,test_macro_f1,test_roc_auc,test_ari,test_nmi
60,0.433974358974359,1,0.7314814814814815,0.6785714285714286,0.41700404858299595,0.6071428571428571,-0.09883720930232558,0.10181700816911868
61,0.4391025641025641,1,0.7222222222222222,0.7857142857142857,0.6136363636363636,0.7380952380952381,0.050761421319796954,0.22294705108743493
62,0.4371794871794872,1,0.7272727272727273,0.7307692307692308,0.5465587044534412,0.6923076923076923,-0.05,0.17618002277154
63,0.4551282051282051,1,0.7636363636363637,0.5256410256410257,0.41700404858299595,0.7435897435897436,-0.05,0.0015130954831035093
64,0.4391025641025641,1,0.7592592592592593,0.6428571428571428,0.36507936507936506,0.42857142857142855,-0.11940298507462686,0.08273673753871687
65,0.4391025641025641,1,0.7222222222222222,0.7857142857142857,0.5636363636363637,0.7142857142857142,0.034334763948497854,0.17871023341808764
66,0.4391025641025641,1,0.7222222222222222,0.7857142857142857,0.6136363636363636,0.8333333333333334,0.050761421319796954,0.22294705108743493
67,0.4391025641025641,1,0.7545454545454545,0.6538461538461539,0.43529411764705883,0.717948717948718,-0.12903225806451613,0.11642351775928049
68,0.49487179487179483,1,0.759090909090909,0.38461538461538464,0.38461538461538464,0.6923076923076924,-0.1396011396011396,0.09047602424295752
69,0.4391025641025641,1,0.7314814814814815,0.75,0.5151515151515151,0.5357142857142857,-0.022727272727272728,0.14840708821535575
70,0.433974358974359,1,0.75,0.6071428571428571,0.30980392156862746,0.7857142857142857,-0.12704918032786885,0.06503817972217672
71,0.4391025641025641,1,0.75,0.6785714285714286,0.4631578947368421,0.5238095238095238,-0.10869565217391304,0.1288617483267018
72,0.4551282051282051,1,0.7636363636363637,0.5256410256410257,0.41700404858299595,0.6666666666666666,-0.05,0.0015130954831035093
73,0.4391025641025641,1,0.7181818181818181,0.8076923076923077,0.6536796536796536,0.7435897435897436,0.10423452768729642,0.25821680907613054
74,0.433974358974359,1,0.7314814814814815,0.6785714285714286,0.41700404858299595,0.6428571428571428,-0.09883720930232558,0.10181700816911868
75,0.4391025641025641,1,0.7314814814814815,0.75,0.5151515151515151,0.8928571428571429,-0.022727272727272728,0.14840708821535575
