institution_a,profile_a,severity_a,institution_b,profile_b,severity_b,severity_gap,feature_l1_distance
INST_022,2,0.4589743589743589,INST_033,1,0.4384615384615384,0.020512820512820495,4.1000000000000005
INST_059,1,0.582051282051282,INST_074,2,0.6025641025641025,0.02051282051282055,7.933333333333334
INST_048,1,0.541025641025641,INST_065,2,0.5615384615384615,0.02051282051282055,6.766666666666667
INST_039,2,0.5166666666666666,INST_049,1,0.5371794871794872,0.02051282051282055,5.8999999999999995
INST_006,1,0.6076923076923076,INST_037,2,0.6282051282051283,0.020512820512820662,7.933333333333334
INST_001,2,0.5192307692307693,INST_048,1,0.541025641025641,0.021794871794871717,9.549999999999999
INST_010,1,0.47564102564102567,INST_036,2,0.4974358974358974,0.021794871794871717,5.616666666666667
INST_010,1,0.47564102564102567,INST_034,2,0.4974358974358974,0.021794871794871717,5.116666666666667
INST_051,2,0.5,INST_072,1,0.47692307692307695,0.02307692307692305,10.3
INST_057,1,0.4858974358974359,INST_071,2,0.46282051282051284,0.02307692307692305,5.866666666666666
INST_032,1,0.4858974358974359,INST_071,2,0.46282051282051284,0.02307692307692305,4.7
INST_036,2,0.4974358974358974,INST_053,1,0.4730769230769231,0.024358974358974272,5.9833333333333325
INST_034,2,0.4974358974358974,INST_053,1,0.4730769230769231,0.024358974358974272,5.483333333333333
INST_022,2,0.4589743589743589,INST_073,1,0.4346153846153846,0.024358974358974272,4.15
INST_010,1,0.47564102564102567,INST_051,2,0.5,0.024358974358974328,7.316666666666667
INST_039,2,0.5166666666666666,INST_061,1,0.4923076923076923,0.024358974358974328,5.15
INST_021,1,0.4641025641025641,INST_054,2,0.43974358974358974,0.024358974358974383,6.35
INST_039,2,0.5166666666666666,INST_048,1,0.541025641025641,0.024358974358974383,6.35
INST_049,1,0.5371794871794872,INST_065,2,0.5615384615384615,0.024358974358974383,6.316666666666667
INST_033,1,0.4384615384615384,INST_071,2,0.46282051282051284,0.02435897435897444,3.4833333333333334
