institution_id,reference_profile,n_oob_predictions,ensemble_dominant_profile,ensemble_dominant_probability,reference_profile_probability,profile_1_probability,profile_2_probability,normalized_entropy,membership_margin,within_reference_profile_consensus,cross_profile_leakage,consensus_gap,family_consistency,minimum_family_dominant_probability,family_disagreement_count,ensemble_agrees_with_reference,certainty_class
INST_053,1,186,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9340791060774819,0.0,0.9340791060774819,1.0,1.0,0,1,CORE
INST_054,2,183,2,1.0,1.0,0.0,1.0,-0.0,1.0,1.0,0.06719128580106848,0.9328087141989315,1.0,1.0,0,1,CORE
INST_055,1,198,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9346843801864493,0.0,0.9346843801864493,1.0,1.0,0,1,CORE
INST_056,1,199,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.933523524073683,0.0,0.933523524073683,1.0,1.0,0,1,CORE
INST_057,1,208,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9294190939751829,0.0,0.9294190939751829,1.0,1.0,0,1,CORE
INST_058,1,212,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9334654450290597,0.0,0.9334654450290597,1.0,1.0,0,1,CORE
INST_059,1,184,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9283759478433585,0.0,0.9283759478433585,1.0,1.0,0,1,CORE
INST_060,1,193,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9270531454973404,0.0,0.9270531454973404,1.0,1.0,0,1,CORE
INST_061,1,179,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9389079906792336,0.0,0.9389079906792336,1.0,1.0,0,1,CORE
INST_062,1,195,1,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.015384615384615385,0.11467550533614675,0.9692307692307693,0.9228055728263057,0.026076504752975307,0.8967290680733304,0.9512195121951219,0.9512195121951219,0,1,CORE
INST_063,1,200,1,0.905,0.905,0.905,0.095,0.4529425481872832,0.81,0.8890927761751065,0.09312537203432882,0.7959674041407777,0.8363636363636363,0.8363636363636363,0,1,CORE
INST_064,1,222,1,0.5900900900900901,0.5900900900900901,0.5900900900900901,0.4099099099099099,0.9764531390551179,0.18018018018018012,0.6235171888494023,0.4525778590264531,0.17093932982294924,0.3389830508474576,0.5087719298245614,2,1,BOUNDARY
INST_065,2,175,2,1.0,1.0,0.0,1.0,-0.0,1.0,1.0,0.058689651315934656,0.9413103486840654,1.0,1.0,0,1,CORE
INST_066,1,189,1,0.6349206349206349,0.6349206349206349,0.6349206349206349,0.36507936507936506,0.9468188316776024,0.26984126984126977,0.6614515582758825,0.41360761055250517,0.24784394772337737,0.42857142857142855,0.5178571428571429,2,1,BOUNDARY
INST_067,1,206,1,0.9951456310679612,0.9951456310679612,0.9951456310679612,0.0048543689320388345,0.04429945728702207,0.9902912621359223,0.9197386399843743,0.011568021419330055,0.9081706185650442,0.9807692307692307,0.9807692307692307,0,1,CORE
INST_068,1,213,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9289429914800995,0.0,0.9289429914800995,1.0,1.0,0,1,CORE
INST_069,1,175,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9296974989696356,0.013630434422289615,0.916067064547346,1.0,1.0,0,1,CORE
INST_070,1,172,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9217585132643007,0.0,0.9217585132643007,1.0,1.0,0,1,CORE
INST_071,2,198,2,1.0,1.0,0.0,1.0,-0.0,1.0,1.0,0.05749369493558339,0.9425063050644166,1.0,1.0,0,1,CORE
INST_072,1,193,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.926912076798529,0.0,0.926912076798529,1.0,1.0,0,1,CORE
INST_073,1,182,1,0.7967032967032966,0.7967032967032966,0.7967032967032966,0.2032967032967033,0.7284727029435499,0.5934065934065933,0.802626478879816,0.22466541240169177,0.5779610664781242,0.6938775510204082,0.6938775510204082,0,1,HALO
INST_074,2,188,2,1.0,1.0,0.0,1.0,-0.0,1.0,1.0,0.08306559452949014,0.9169344054705099,1.0,1.0,0,1,CORE
INST_075,1,201,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9396755621013335,0.0,0.9396755621013335,1.0,1.0,0,1,CORE
INST_076,1,219,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9392027877962897,0.0,0.9392027877962897,1.0,1.0,0,1,CORE
INST_077,1,225,1,0.8622222222222222,0.8622222222222222,0.8622222222222222,0.13777777777777778,0.5783892934112775,0.7244444444444444,0.8557311329646798,0.14294517398976303,0.7127859589749168,0.7818181818181819,0.7818181818181819,0,1,HALO
INST_078,1,186,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9240547360569599,0.0,0.9240547360569599,1.0,1.0,0,1,CORE
INST_079,1,184,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9392978790138203,0.0,0.9392978790138203,1.0,1.0,0,1,CORE
INST_080,1,183,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9241060820409536,0.0,0.9241060820409536,1.0,1.0,0,1,CORE
INST_081,1,193,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9365885752697128,0.0,0.9365885752697128,1.0,1.0,0,1,CORE
