institution_id,reference_profile,family,n_oob_predictions,family_dominant_profile,family_dominant_probability,family_reference_profile_probability,profile_1_probability,profile_2_probability
INST_035,1,R1_PCA85_KMEANS,47,1,1.0,1.0,1.0,0.0
INST_036,2,R0_WARD,54,2,0.9814814814814815,0.9814814814814815,0.018518518518518517,0.9814814814814815
INST_036,2,R1_PCA85_WARD,50,2,1.0,1.0,0.0,1.0
INST_036,2,R0_KMEANS,48,2,1.0,1.0,0.0,1.0
INST_036,2,R1_PCA85_KMEANS,54,2,1.0,1.0,0.0,1.0
INST_037,2,R0_WARD,44,2,1.0,1.0,0.0,1.0
INST_037,2,R1_PCA85_WARD,59,2,1.0,1.0,0.0,1.0
INST_037,2,R0_KMEANS,45,2,1.0,1.0,0.0,1.0
INST_037,2,R1_PCA85_KMEANS,44,2,1.0,1.0,0.0,1.0
INST_038,1,R0_WARD,51,1,1.0,1.0,1.0,0.0
INST_038,1,R1_PCA85_WARD,48,1,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.020833333333333332
INST_038,1,R0_KMEANS,55,1,1.0,1.0,1.0,0.0
INST_038,1,R1_PCA85_KMEANS,43,1,1.0,1.0,1.0,0.0
INST_039,2,R0_WARD,43,2,1.0,1.0,0.0,1.0
INST_039,2,R1_PCA85_WARD,48,2,1.0,1.0,0.0,1.0
INST_039,2,R0_KMEANS,54,2,1.0,1.0,0.0,1.0
INST_039,2,R1_PCA85_KMEANS,41,2,1.0,1.0,0.0,1.0
INST_040,1,R0_WARD,46,1,1.0,1.0,1.0,0.0
INST_040,1,R1_PCA85_WARD,53,1,1.0,1.0,1.0,0.0
INST_040,1,R0_KMEANS,51,1,1.0,1.0,1.0,0.0
INST_040,1,R1_PCA85_KMEANS,49,1,1.0,1.0,1.0,0.0
INST_041,2,R0_WARD,62,2,0.9838709677419355,0.9838709677419355,0.016129032258064516,0.9838709677419355
INST_041,2,R1_PCA85_WARD,57,2,1.0,1.0,0.0,1.0
INST_041,2,R0_KMEANS,45,2,1.0,1.0,0.0,1.0
INST_041,2,R1_PCA85_KMEANS,47,2,1.0,1.0,0.0,1.0
INST_042,1,R0_WARD,50,1,0.92,0.92,0.92,0.08
INST_042,1,R1_PCA85_WARD,49,1,0.8979591836734694,0.8979591836734694,0.8979591836734694,0.10204081632653061
INST_042,1,R0_KMEANS,47,1,0.7659574468085106,0.7659574468085106,0.7659574468085106,0.23404255319148937
INST_042,1,R1_PCA85_KMEANS,44,1,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.11363636363636363
INST_043,1,R0_WARD,48,1,1.0,1.0,1.0,0.0
INST_043,1,R1_PCA85_WARD,50,1,1.0,1.0,1.0,0.0
INST_043,1,R0_KMEANS,49,1,1.0,1.0,1.0,0.0
INST_043,1,R1_PCA85_KMEANS,49,1,1.0,1.0,1.0,0.0
INST_044,1,R0_WARD,45,1,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.044444444444444446
INST_044,1,R1_PCA85_WARD,45,1,1.0,1.0,1.0,0.0
INST_044,1,R0_KMEANS,54,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666
INST_044,1,R1_PCA85_KMEANS,57,1,0.8771929824561403,0.8771929824561403,0.8771929824561403,0.12280701754385964
INST_045,1,R0_WARD,51,1,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.0196078431372549
INST_045,1,R1_PCA85_WARD,59,1,0.9830508474576272,0.9830508474576272,0.9830508474576272,0.01694915254237288
INST_045,1,R0_KMEANS,56,1,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.017857142857142856
INST_045,1,R1_PCA85_KMEANS,45,1,1.0,1.0,1.0,0.0
INST_046,1,R0_WARD,64,1,1.0,1.0,1.0,0.0
INST_046,1,R1_PCA85_WARD,51,1,1.0,1.0,1.0,0.0
INST_046,1,R0_KMEANS,48,1,1.0,1.0,1.0,0.0
INST_046,1,R1_PCA85_KMEANS,47,1,1.0,1.0,1.0,0.0
INST_047,1,R0_WARD,49,1,1.0,1.0,1.0,0.0
INST_047,1,R1_PCA85_WARD,53,1,1.0,1.0,1.0,0.0
INST_047,1,R0_KMEANS,54,1,1.0,1.0,1.0,0.0
INST_047,1,R1_PCA85_KMEANS,51,1,1.0,1.0,1.0,0.0
INST_048,1,R0_WARD,51,1,1.0,1.0,1.0,0.0
INST_048,1,R1_PCA85_WARD,56,1,1.0,1.0,1.0,0.0
INST_048,1,R0_KMEANS,45,1,1.0,1.0,1.0,0.0
