institution_id,INST_001,INST_002,INST_003,INST_004,INST_005,INST_006,INST_007,INST_008,INST_009,INST_010,INST_011,INST_012,INST_013,INST_014,INST_015,INST_016,INST_017,INST_018,INST_019,INST_020,INST_021,INST_022,INST_023,INST_024,INST_025,INST_026,INST_027,INST_028,INST_029,INST_030,INST_031,INST_032,INST_033,INST_034,INST_035,INST_036,INST_037,INST_038,INST_039,INST_040,INST_041,INST_042,INST_043,INST_044,INST_045,INST_046,INST_047,INST_048,INST_049,INST_050,INST_051,INST_052,INST_053,INST_054,INST_055,INST_056,INST_057,INST_058,INST_059,INST_060,INST_061,INST_062,INST_063,INST_064,INST_065,INST_066,INST_067,INST_068,INST_069,INST_070,INST_071,INST_072,INST_073,INST_074,INST_075,INST_076,INST_077,INST_078,INST_079,INST_080,INST_081
INST_070,33,40,30,26,24,30,32,38,38,29,37,31,42,32,27,30,26,29,33,29,33,29,18,38,29,31,30,36,32,29,28,49,24,41,33,34,29,25,35,38,38,30,41,32,38,38,39,39,27,29,32,38,30,25,46,24,34,40,21,31,37,24,31,28,27,31,41,46,29,172,27,22,27,35,33,41,40,21,40,28,23
INST_071,33,42,39,37,35,25,32,42,39,50,50,28,35,37,29,40,39,35,41,47,40,46,38,46,39,33,48,37,22,41,40,32,29,42,42,42,40,37,39,43,41,42,36,32,35,37,41,38,39,45,32,36,30,32,36,38,48,31,32,27,34,31,35,40,34,27,41,38,34,27,198,36,31,28,41,43,37,40,33,41,40
INST_072,49,50,42,44,33,33,32,39,37,37,39,32,30,39,39,35,34,41,32,40,40,43,36,33,32,34,37,32,39,37,39,44,35,44,44,44,37,36,30,36,34,39,32,39,40,33,44,35,27,37,30,35,31,33,35,32,38,44,25,35,33,37,38,46,41,27,36,34,29,22,36,193,28,39,38,40,34,28,33,30,39
INST_073,30,33,38,36,34,29,36,37,34,31,32,34,34,34,35,36,34,30,31,42,31,36,38,46,36,31,42,30,30,36,27,38,33,30,33,30,31,40,37,27,37,32,37,39,38,30,29,43,30,34,32,41,31,26,32,44,39,38,30,35,34,31,35,38,34,30,33,39,28,27,31,28,182,36,34,41,37,33,36,36,30
INST_074,45,35,37,38,41,27,34,36,31,41,42,35,31,34,38,40,35,38,36,36,39,45,34,29,35,34,36,39,35,30,33,39,28,24,34,36,35,31,34,37,37,33,38,36,45,34,39,40,37,38,33,21,31,31,44,38,35,38,37,31,32,32,34,40,30,25,37,31,30,35,28,39,36,188,32,41,48,33,34,28,42
INST_075,43,38,37,31,35,37,32,38,37,39,45,36,29,36,35,35,39,30,39,36,37,45,43,34,38,42,43,33,31,38,30,43,38,31,45,34,44,35,35,42,45,48,38,38,42,41,39,38,43,35,37,38,38,34,32,38,47,43,36,32,34,33,44,47,31,40,33,33,31,33,41,38,34,32,201,42,54,40,39,26,40
INST_076,44,45,45,43,32,30,42,41,43,46,45,44,40,43,39,35,38,30,37,45,44,45,38,38,38,41,41,42,41,47,41,53,38,44,37,42,35,51,38,42,57,41,42,47,44,44,39,36,45,43,46,41,40,41,26,38,41,35,39,38,36,38,52,41,34,38,43,43,38,41,43,40,41,41,42,219,56,40,38,37,37
INST_077,45,46,41,43,40,38,44,52,42,45,39,42,37,39,44,33,42,43,37,48,47,50,41,44,37,40,35,39,48,31,36,45,36,43,45,47,34,34,38,41,55,37,39,39,45,52,43,47,32,42,44,53,36,44,50,50,32,52,46,48,30,41,48,49,38,40,36,43,45,40,37,34,37,48,54,56,225,41,35,45,41
INST_078,33,35,36,26,33,30,30,41,34,35,37,41,30,31,38,34,40,27,35,36,37,48,33,32,38,41,36,27,39,41,38,33,28,29,35,28,31,33,36,31,28,31,41,40,42,35,39,26,35,36,32,33,36,40,40,39,38,37,37,33,26,32,37,48,26,35,43,38,31,21,40,28,33,33,40,40,41,186,32,30,42
INST_079,38,52,29,26,35,33,31,31,31,32,35,36,35,33,35,34,35,34,34,31,34,31,34,32,35,45,34,32,39,33,40,34,31,34,28,46,40,30,32,38,41,28,34,33,40,38,33,40,25,29,36,28,30,25,40,38,42,38,27,29,33,39,45,39,28,37,29,34,26,40,33,33,36,34,39,38,35,32,184,39,35
INST_080,34,36,41,39,32,28,45,34,31,23,33,37,44,39,30,31,37,35,34,33,33,27,38,36,38,33,40,40,33,30,36,42,22,42,38,36,33,42,26,28,39,22,29,36,25,39,32,30,38,38,35,38,34,28,38,45,33,38,36,40,26,35,29,35,31,27,43,41,27,28,41,30,36,28,26,37,45,30,39,183,29
INST_081,40,38,40,40,38,38,39,43,44,37,32,32,23,36,45,28,38,29,45,40,30,33,39,32,38,28,29,34,34,39,41,40,33,26,31,40,38,26,36,33,32,31,34,37,48,39,42,33,44,40,27,32,33,26,36,39,35,34,37,45,41,38,37,42,34,42,42,40,32,23,40,39,30,42,40,37,41,42,35,29,193
