institution_id,family,n_oob_predictions,profile_1_probability,profile_2_probability
INST_070,R0_KMEANS,44,1.0,0.0
INST_071,R0_KMEANS,52,0.0,1.0
INST_072,R0_KMEANS,47,1.0,0.0
INST_073,R0_KMEANS,46,0.7391304347826086,0.2608695652173913
INST_074,R0_KMEANS,55,0.0,1.0
INST_075,R0_KMEANS,52,1.0,0.0
INST_076,R0_KMEANS,48,1.0,0.0
INST_077,R0_KMEANS,56,0.875,0.125
INST_078,R0_KMEANS,45,1.0,0.0
INST_079,R0_KMEANS,48,1.0,0.0
INST_080,R0_KMEANS,48,1.0,0.0
INST_081,R0_KMEANS,49,1.0,0.0
INST_001,R1_PCA85_KMEANS,49,0.0,1.0
INST_002,R1_PCA85_KMEANS,53,1.0,0.0
INST_003,R1_PCA85_KMEANS,48,0.7291666666666666,0.2708333333333333
INST_004,R1_PCA85_KMEANS,45,1.0,0.0
INST_005,R1_PCA85_KMEANS,47,1.0,0.0
INST_006,R1_PCA85_KMEANS,39,1.0,0.0
INST_007,R1_PCA85_KMEANS,54,0.4074074074074074,0.5925925925925926
INST_008,R1_PCA85_KMEANS,54,0.9814814814814815,0.018518518518518517
INST_009,R1_PCA85_KMEANS,48,0.8333333333333334,0.16666666666666666
INST_010,R1_PCA85_KMEANS,34,1.0,0.0
INST_011,R1_PCA85_KMEANS,54,1.0,0.0
INST_012,R1_PCA85_KMEANS,47,1.0,0.0
INST_013,R1_PCA85_KMEANS,46,1.0,0.0
INST_014,R1_PCA85_KMEANS,47,1.0,0.0
INST_015,R1_PCA85_KMEANS,45,0.8222222222222222,0.17777777777777778
INST_016,R1_PCA85_KMEANS,49,1.0,0.0
INST_017,R1_PCA85_KMEANS,47,1.0,0.0
INST_018,R1_PCA85_KMEANS,44,0.8181818181818182,0.18181818181818182
INST_019,R1_PCA85_KMEANS,47,0.5531914893617021,0.44680851063829785
INST_020,R1_PCA85_KMEANS,54,1.0,0.0
INST_021,R1_PCA85_KMEANS,54,1.0,0.0
INST_022,R1_PCA85_KMEANS,49,0.0,1.0
INST_023,R1_PCA85_KMEANS,46,0.13043478260869565,0.8695652173913043
INST_024,R1_PCA85_KMEANS,51,1.0,0.0
INST_025,R1_PCA85_KMEANS,38,0.5789473684210527,0.42105263157894735
INST_026,R1_PCA85_KMEANS,50,1.0,0.0
INST_027,R1_PCA85_KMEANS,50,0.0,1.0
INST_028,R1_PCA85_KMEANS,49,1.0,0.0
INST_029,R1_PCA85_KMEANS,51,1.0,0.0
INST_030,R1_PCA85_KMEANS,54,0.9629629629629629,0.037037037037037035
INST_031,R1_PCA85_KMEANS,55,0.8909090909090909,0.10909090909090909
INST_032,R1_PCA85_KMEANS,48,1.0,0.0
INST_033,R1_PCA85_KMEANS,38,0.8421052631578947,0.15789473684210525
INST_034,R1_PCA85_KMEANS,48,0.0,1.0
INST_035,R1_PCA85_KMEANS,47,1.0,0.0
INST_036,R1_PCA85_KMEANS,54,0.0,1.0
INST_037,R1_PCA85_KMEANS,44,0.0,1.0
INST_038,R1_PCA85_KMEANS,43,1.0,0.0
INST_039,R1_PCA85_KMEANS,41,0.0,1.0
INST_040,R1_PCA85_KMEANS,49,1.0,0.0
INST_041,R1_PCA85_KMEANS,47,0.0,1.0
INST_042,R1_PCA85_KMEANS,44,0.8863636363636364,0.11363636363636363
INST_043,R1_PCA85_KMEANS,49,1.0,0.0
INST_044,R1_PCA85_KMEANS,57,0.8771929824561403,0.12280701754385964
INST_045,R1_PCA85_KMEANS,45,1.0,0.0
INST_046,R1_PCA85_KMEANS,47,1.0,0.0
INST_047,R1_PCA85_KMEANS,51,1.0,0.0
INST_048,R1_PCA85_KMEANS,48,1.0,0.0
INST_049,R1_PCA85_KMEANS,46,1.0,0.0
INST_050,R1_PCA85_KMEANS,61,0.9508196721311475,0.04918032786885246
INST_051,R1_PCA85_KMEANS,50,0.0,1.0
INST_052,R1_PCA85_KMEANS,52,0.6730769230769231,0.3269230769230769
INST_053,R1_PCA85_KMEANS,50,1.0,0.0
INST_054,R1_PCA85_KMEANS,43,0.0,1.0
INST_055,R1_PCA85_KMEANS,49,1.0,0.0
INST_056,R1_PCA85_KMEANS,57,1.0,0.0
INST_057,R1_PCA85_KMEANS,50,1.0,0.0
INST_058,R1_PCA85_KMEANS,55,1.0,0.0
INST_059,R1_PCA85_KMEANS,57,1.0,0.0
INST_060,R1_PCA85_KMEANS,55,1.0,0.0
INST_061,R1_PCA85_KMEANS,55,1.0,0.0
INST_062,R1_PCA85_KMEANS,46,1.0,0.0
INST_063,R1_PCA85_KMEANS,55,0.8363636363636363,0.16363636363636364
INST_064,R1_PCA85_KMEANS,57,0.49122807017543857,0.5087719298245614
INST_065,R1_PCA85_KMEANS,54,0.0,1.0
INST_066,R1_PCA85_KMEANS,56,0.48214285714285715,0.5178571428571429
INST_067,R1_PCA85_KMEANS,48,1.0,0.0
INST_068,R1_PCA85_KMEANS,51,1.0,0.0
INST_069,R1_PCA85_KMEANS,48,1.0,0.0
INST_070,R1_PCA85_KMEANS,48,1.0,0.0
INST_071,R1_PCA85_KMEANS,47,0.0,1.0
INST_072,R1_PCA85_KMEANS,50,1.0,0.0
INST_073,R1_PCA85_KMEANS,49,0.6938775510204082,0.30612244897959184
INST_074,R1_PCA85_KMEANS,48,0.0,1.0
INST_075,R1_PCA85_KMEANS,53,1.0,0.0
INST_076,R1_PCA85_KMEANS,56,1.0,0.0
INST_077,R1_PCA85_KMEANS,55,0.7818181818181819,0.21818181818181817
INST_078,R1_PCA85_KMEANS,53,1.0,0.0
INST_079,R1_PCA85_KMEANS,52,1.0,0.0
INST_080,R1_PCA85_KMEANS,48,1.0,0.0
INST_081,R1_PCA85_KMEANS,48,1.0,0.0
