candidate_id,institution_id,reference_profile,target_profile,certainty_class,rank,total_cost,ensemble_support,baseline_target_support_inductive,baseline_source_support_inductive,ensemble_support_gain,desired_flip_members,retained_target_members,reverse_loss_members,remained_source_members,conditional_flip_rate_among_baseline_source,target_retention_rate_among_baseline_target,reverse_loss_rate_among_baseline_target,net_member_gain_count,baseline_target_support_R0_KMEANS,cf_target_support_R0_KMEANS,support_gain_R0_KMEANS,conditional_flip_rate_R0_KMEANS,baseline_target_support_R0_WARD,cf_target_support_R0_WARD,support_gain_R0_WARD,conditional_flip_rate_R0_WARD,baseline_target_support_R1_PCA85_KMEANS,cf_target_support_R1_PCA85_KMEANS,support_gain_R1_PCA85_KMEANS,conditional_flip_rate_R1_PCA85_KMEANS,baseline_target_support_R1_PCA85_WARD,cf_target_support_R1_PCA85_WARD,support_gain_R1_PCA85_WARD,conditional_flip_rate_R1_PCA85_WARD
INST_036__CF01,INST_036,2,1,CORE,1,6.499986250035376,0.4186991869918699,0.0010162601626016261,0.9989837398373984,0.4176829268292683,411,1,0,572,0.41810783316378436,1.0,0.0,411,0.0,0.3,0.3,0.3,0.004098360655737705,0.5860655737704918,0.5819672131147542,0.5843621399176955,0.0,0.276,0.276,0.276,0.0,0.5208333333333334,0.5208333333333334,0.5208333333333334
INST_037__CF01,INST_037,2,1,CORE,1,8.499980000054501,0.3922764227642276,0.0010162601626016261,0.9989837398373984,0.391260162601626,385,1,0,598,0.3916581892166836,1.0,0.0,385,0.0,0.28,0.28,0.28,0.004098360655737705,0.5860655737704918,0.5819672131147542,0.5843621399176955,0.0,0.216,0.216,0.216,0.0,0.49583333333333335,0.49583333333333335,0.49583333333333335
INST_039__CF01,INST_039,2,1,CORE,1,3.999992750018375,0.3140243902439024,0.0010162601626016261,0.9989837398373984,0.3130081300813008,308,1,0,675,0.3133265513733469,1.0,0.0,308,0.0,0.176,0.176,0.176,0.004098360655737705,0.44672131147540983,0.4426229508196721,0.4444444444444444,0.0,0.2,0.2,0.2,0.0,0.44166666666666665,0.44166666666666665,0.44166666666666665
INST_039__CF02,INST_039,2,1,CORE,2,4.249991250022376,0.3516260162601626,0.0010162601626016261,0.9989837398373984,0.35060975609756095,345,1,0,638,0.35096642929806715,1.0,0.0,345,0.0,0.224,0.224,0.224,0.004098360655737705,0.5491803278688525,0.5450819672131149,0.5473251028806584,0.0,0.188,0.188,0.188,0.0,0.45416666666666666,0.45416666666666666,0.45416666666666666
INST_039__CF03,INST_039,2,1,CORE,3,4.499990750025376,0.4105691056910569,0.0010162601626016261,0.9989837398373984,0.4095528455284553,403,1,0,580,0.40996948118006105,1.0,0.0,403,0.0,0.264,0.264,0.264,0.004098360655737705,0.610655737704918,0.6065573770491803,0.6090534979423868,0.0,0.248,0.248,0.248,0.0,0.5291666666666667,0.5291666666666667,0.5291666666666667
INST_039__CF04,INST_039,2,1,CORE,4,4.499992250018125,0.3495934959349593,0.0010162601626016261,0.9989837398373984,0.3485772357723577,343,1,0,640,0.34893184130213634,1.0,0.0,343,0.0,0.196,0.196,0.196,0.004098360655737705,0.5040983606557377,0.49999999999999994,0.5020576131687243,0.0,0.2,0.2,0.2,0.0,0.5083333333333333,0.5083333333333333,0.5083333333333333
INST_039__CF05,INST_039,2,1,CORE,5,4.749990000026,0.3689024390243902,0.0010162601626016261,0.9989837398373984,0.3678861788617886,362,1,0,621,0.36826042726347913,1.0,0.0,362,0.0,0.236,0.236,0.236,0.004098360655737705,0.5245901639344263,0.5204918032786886,0.522633744855967,0.0,0.212,0.212,0.212,0.0,0.5125,0.5125,0.5125
INST_054__CF01,INST_054,2,1,CORE,1,4.9999905000235,0.4278455284552845,0.0010162601626016261,0.9989837398373984,0.4268292682926829,421,0,1,562,0.42828077314343843,0.0,1.0,420,0.0,0.3,0.3,0.3,0.004098360655737705,0.5573770491803278,0.5532786885245902,0.5596707818930041,0.0,0.316,0.316,0.316,0.0,0.5458333333333333,0.5458333333333333,0.5458333333333333
INST_054__CF02,INST_054,2,1,CORE,2,4.999991500018501,0.366869918699187,0.0010162601626016261,0.9989837398373984,0.36585365853658536,360,1,0,623,0.3662258392675483,1.0,0.0,360,0.0,0.24,0.24,0.24,0.004098360655737705,0.5,0.4959016393442623,0.49794238683127573,0.0,0.228,0.228,0.228,0.0,0.5083333333333333,0.5083333333333333,0.5083333333333333
INST_054__CF03,INST_054,2,1,CORE,3,5.24999150001625,0.3567073170731707,0.0010162601626016261,0.9989837398373984,0.35569105691056907,350,1,0,633,0.3560528992878942,1.0,0.0,350,0.0,0.208,0.208,0.208,0.004098360655737705,0.48360655737704916,0.47950819672131145,0.48148148148148145,0.0,0.228,0.228,0.228,0.0,0.5166666666666667,0.5166666666666667,0.5166666666666667
INST_054__CF04,INST_054,2,1,CORE,4,5.499989250026375,0.4024390243902439,0.0010162601626016261,0.9989837398373984,0.4014227642276423,395,1,0,588,0.40183112919633773,1.0,0.0,395,0.0,0.288,0.288,0.288,0.004098360655737705,0.5327868852459017,0.528688524590164,0.5308641975308642,0.0,0.276,0.276,0.276,0.0,0.5208333333333334,0.5208333333333334,0.5208333333333334
INST_054__CF05,INST_054,2,1,CORE,5,5.499990250021376,0.3861788617886179,0.0010162601626016261,0.9989837398373984,0.38516260162601623,379,1,0,604,0.38555442522889116,1.0,0.0,379,0.0,0.248,0.248,0.248,0.004098360655737705,0.5532786885245902,0.5491803278688525,0.551440329218107,0.0,0.256,0.256,0.256,0.0,0.49583333333333335,0.49583333333333335,0.49583333333333335
INST_064__CF01,INST_064,1,2,BOUNDARY,1,2.3333298888954817,0.7103658536585366,0.4695121951219512,0.5304878048780488,0.24085365853658536,248,451,11,274,0.47509578544061304,0.9761904761904762,0.023809523809523808,237,0.684,0.816,0.1319999999999999,0.4177215189873418,0.23770491803278687,0.5819672131147541,0.3442622950819672,0.4838709677419355,0.676,0.86,0.18399999999999994,0.5679012345679012,0.26666666666666666,0.575,0.3083333333333333,0.44886363636363635
